from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
150,70082,1,,,,,,52928316-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928316-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928317-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928317-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928318-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928318-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928319-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928319-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928320-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928320-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928321-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928321-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928327-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928327-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928328-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928328-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928329-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928329-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928330-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928330-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928336-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928336-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928337-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928337-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928338-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928338-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928339-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928339-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928345-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928345-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928346-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928346-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928347-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928347-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928348-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928348-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928354-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928354-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928355-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928355-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928356-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928356-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928357-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928357-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928363-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928363-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928364-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928364-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928365-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928365-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928366-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928366-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928372-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928372-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928373-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928373-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928374-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928374-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928375-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928375-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928381-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928381-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928382-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928382-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928383-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928383-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928384-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928384-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928388-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928388-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928389-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928389-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928390-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928390-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928391-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928391-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928392-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928392-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928393-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928393-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928394-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928394-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928395-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928395-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928396-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928396-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928397-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928397-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928398-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928398-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928399-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928399-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928400-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayAshBranch,52928400-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928401-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayBtreeBranch,52928401-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928402-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayBtreeBranch,52928402-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928403-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayBtreeBranch,52928403-AshmontBwayAshBranchAshmontBwayBtreeBranch2
150,70082,1,,,,,,52928404-AshmontBwayAshBranchAshmontBwayBtreeBranchAshmontBwayBtreeBranch,52928404-AshmontBwayAshBranchAshmontBwayBtreeBranch2
